fips,state_abbr,county_name,ahrf_pop_est_2020,ahrf_pop_den_2010,ahrf_phys_pricare,ahrf_phys_total,ahrf_hosp_total,ahrf_hosp_cah,ahrf_hosp_with_ed,ahrf_hosp_with_offcampus_ed,ahrf_hosp_with_pedsed,ahrf_hosp_with_traumactr,ahrf_ed_visits,ahrf_ed_visits_per_capita,ahrf_phys_pricare_per_2000,chr_healthoutcomes_rank,chr_healthoutcomes_quartile,chr_healthfactors_rank,chr_healthfactors_quartile,chr_lengthoflife_rank,chr_lengthoflife_quartile,chr_qualityoflife_rank,chr_qualityoflife_quartile,chr_healthbehaviors_rank,chr_healthbehaviors_quartile,chr_clinicalcare_rank,chr_clinicalcare_quartile,chr_sesfactors_rank,chr_sesfactors_quartile,chr_physenv_rank,chr_physenv_quartile,svi_perc,svi_ses_perc,svi_hcd_perc,svi_msl_perc,svi_htt_perc,syn_provider_count,comm_health_needs_score
13057,GA,Cherokee County,265274.0,508.3,111.0,250.0,1.0,0.0,1.0,0.0,0.0,0.0,58659.0,0.22,0.84,3.0,1.0,6.0,1.0,3.0,1.0,3.0,1.0,6.0,1.0,22.0,1.0,5.0,1.0,107.0,3.0,0.1185,0.1102,0.0904,0.7494,0.0955,35.0,-5.96
13059,GA,Clarke County,127795.0,979.1,99.0,416.0,3.0,0.0,2.0,0.0,1.0,1.0,130526.0,1.02,1.55,24.0,1.0,33.0,1.0,9.0,1.0,58.0,2.0,45.0,2.0,7.0,1.0,42.0,2.0,108.0,3.0,0.7675,0.7898,0.0242,0.8914,0.9551,26.0,-1.71
13061,GA,Clay County,2866.0,16.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,126.0,4.0,158.0,4.0,74.0,2.0,154.0,4.0,157.0,4.0,153.0,4.0,157.0,4.0,101.0,3.0,0.9309,0.9818,0.9131,0.4922,0.7606,3.0,2.93
13063,GA,Clayton County,292646.0,1832.5,80.0,255.0,2.0,0.0,0.0,0.0,0.0,0.0,44929.0,0.15,0.55,70.0,2.0,113.0,3.0,54.0,2.0,93.0,3.0,47.0,2.0,112.0,3.0,148.0,4.0,82.0,3.0,0.9102,0.8653,0.5333,0.9739,0.7746,44.0,1.25
13065,GA,Clinch County,6582.0,8.5,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1690.0,0.26,0.3,153.0,4.0,149.0,4.0,136.0,4.0,158.0,4.0,158.0,4.0,158.0,4.0,95.0,3.0,17.0,1.0,0.9777,0.958,0.8777,0.7017,0.9637,3.0,4.78
13067,GA,Cobb County,762944.0,2026.5,581.0,1934.0,5.0,0.0,2.0,0.0,2.0,1.0,228526.0,0.3,1.52,5.0,1.0,5.0,1.0,6.0,1.0,6.0,1.0,5.0,1.0,9.0,1.0,10.0,1.0,19.0,1.0,0.2669,0.1583,0.1757,0.9217,0.2264,95.0,-6.31
13069,GA,Coffee County,43218.0,73.7,23.0,52.0,1.0,0.0,1.0,0.0,1.0,0.0,34543.0,0.8,1.06,108.0,3.0,129.0,4.0,103.0,3.0,109.0,3.0,112.0,3.0,155.0,4.0,123.0,4.0,7.0,1.0,0.9506,0.814,0.8781,0.8615,0.9462,11.0,3.23
13071,GA,Colquitt County,45542.0,83.6,19.0,61.0,2.0,0.0,1.0,0.0,0.0,0.0,34669.0,0.76,0.83,119.0,3.0,132.0,4.0,126.0,4.0,110.0,3.0,98.0,3.0,157.0,4.0,112.0,3.0,54.0,2.0,0.9812,0.936,0.7978,0.937,0.9491,19.0,3.95
13073,GA,Columbia County,160377.0,427.6,157.0,709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,6.0,1.0,4.0,1.0,7.0,1.0,5.0,1.0,7.0,1.0,4.0,1.0,4.0,1.0,99.0,3.0,0.1334,0.1608,0.2171,0.7475,0.0357,15.0,-8.26
13075,GA,Cook County,17291.0,75.8,10.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,107.0,3.0,85.0,3.0,91.0,3.0,125.0,4.0,102.0,3.0,104.0,3.0,67.0,2.0,40.0,1.0,0.851,0.8357,0.8918,0.7217,0.5158,7.0,-0.16
